=== qlab round 5 (prefix qlab_r5, seed 1234) ===
--- trajectory txts into the 720p tree ---
--- download (cached after round 1) ---
[90mHint: The `hf-cli` skill is not installed. Run `hf skills add -g --claude` to teach your AI agents how to use the `hf` CLI.[0m
Fetching 32 files:   0%|          | 0/32 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 32 files:  25%|██▌       | 8/32 [00:00<00:00, 75.63it/s]Fetching 32 files:  25%|██▌       | 8/32 [00:20<00:00, 75.63it/s]Fetching 32 files:  28%|██▊       | 9/32 [02:22<08:18, 21.65s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:27<06:48, 18.56s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:40<06:48, 18.56s/it]Fetching 32 files:  34%|███▍      | 11/32 [02:54<07:05, 20.27s/it]Fetching 32 files:  38%|███▊      | 12/32 [03:29<07:53, 23.67s/it]Fetching 32 files:  41%|████      | 13/32 [04:17<09:21, 29.54s/it]Fetching 32 files:  44%|████▍     | 14/32 [04:23<07:02, 23.46s/it]Fetching 32 files:  47%|████▋     | 15/32 [04:40<06:38, 23.46s/it]Fetching 32 files:  50%|█████     | 16/32 [04:41<04:37, 17.33s/it]Fetching 32 files:  53%|█████▎    | 17/32 [04:48<03:44, 14.97s/it]Fetching 32 files:  53%|█████▎    | 17/32 [05:00<03:44, 14.97s/it]Fetching 32 files:  56%|█████▋    | 18/32 [05:14<04:07, 17.65s/it]Fetching 32 files:  59%|█████▉    | 19/32 [06:38<07:36, 35.15s/it]Fetching 32 files:  66%|██████▌   | 21/32 [06:38<03:41, 20.12s/it]Fetching 32 files:  72%|███████▏  | 23/32 [06:39<01:54, 12.68s/it]Fetching 32 files:  78%|███████▊  | 25/32 [06:40<00:58,  8.31s/it]Fetching 32 files:  81%|████████▏ | 26/32 [06:57<01:00, 10.12s/it]Fetching 32 files:  88%|████████▊ | 28/32 [07:03<00:29,  7.42s/it]Fetching 32 files:  91%|█████████ | 29/32 [07:14<00:24,  8.22s/it]Fetching 32 files:  94%|█████████▍| 30/32 [07:24<00:17,  8.64s/it]Fetching 32 files:  97%|█████████▋| 31/32 [07:25<00:06,  6.84s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00,  5.28s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00, 13.96s/it]
--- serve ---
server ready
--- group d (verdict): P0,L2 ---
=== P0: baseline control (verbatim released prompt) ===
  [L2 47] prompt_3_v13.mp4: Normal (X)
  [L2 48] prompt_3_v17.mp4: Normal (X)
  [L2 49] prompt_3_v07.mp4: Anomaly (ok)
  [L2 50] prompt_3_v16.mp4: Normal (X)
  [L2 51] prompt_4_v02.mp4: Anomaly (ok)
  [L2 52] prompt_3_v15.mp4: Normal (X)
  [L2 53] prompt_4_v04.mp4: Normal (X)
  [L2 54] prompt_4_v06.mp4: Normal (X)
  [L2 55] prompt_4_v03.mp4: Anomaly (ok)
  [L2 56] prompt_4_v05.mp4: Anomaly (ok)
  [L2 57] prompt_4_v09.mp4: Anomaly (ok)
  [L2 58] prompt_4_v07.mp4: Anomaly (ok)
  [L2 59] prompt_4_v01.mp4: Anomaly (ok)
  [L2 60] prompt_4_v12.mp4: Normal (X)
  [L2 61] prompt_4_v13.mp4: Anomaly (ok)
  [L2 62] prompt_4_v15.mp4: Normal (X)
  [L2 63] prompt_4_v10.mp4: Normal (X)
  [L2 64] prompt_4_v14.mp4: Anomaly (ok)
  [L2 65] prompt_4_v20.mp4: Anomaly (ok)
  [L2 66] prompt_4_v16.mp4: Anomaly (ok)
  [L2 67] prompt_4_v17.mp4: Normal (X)
  [L2 68] prompt_5_v02.mp4: Normal (X)
  [L2 69] prompt_5_v03.mp4: Normal (X)
  [L2 70] prompt_5_v04.mp4: Normal (X)
  [L2 71] prompt_5_v07.mp4: Anomaly (ok)
  [L2 72] prompt_5_v05.mp4: Normal (X)
  [L2 73] prompt_5_v10.mp4: Normal (X)
  [L2 74] prompt_5_v12.mp4: Normal (X)
  [L2 75] prompt_5_v01.mp4: Normal (X)
  [L2 76] prompt_5_v06.mp4: Normal (X)
  [L2 77] prompt_5_v09.mp4: Normal (X)
  [L2 78] prompt_5_v13.mp4: Normal (X)
  [L2 79] prompt_5_v15.mp4: Normal (X)
  [L2 80] prompt_8_v06.mp4: Normal (X)
  [L2 81] prompt_5_v14.mp4: Normal (X)
  [L2 82] prompt_8_v03.mp4: Anomaly (ok)
  [L2 83] prompt_8_v08.mp4: Normal (X)
  [L2 84] prompt_5_v17.mp4: Anomaly (ok)
  [L2 85] prompt_8_v02.mp4: Anomaly (ok)
  [L2 86] prompt_8_v18.mp4: Normal (X)
  [L2 87] prompt_5_v16.mp4: Normal (X)
  [L2 88] prompt_9_v02.mp4: Anomaly (ok)
  [L2 89] prompt_8_v12.mp4: Normal (X)
  [L2 90] prompt_8_v20.mp4: Normal (X)
  [L2 91] prompt_9_v05.mp4: Normal (X)
  [L2 92] prompt_9_v03.mp4: Anomaly (ok)
  [L2 93] prompt_9_v07.mp4: Normal (X)
  [L2 94] prompt_9_v06.mp4: Normal (X)
  [L2 95] prompt_9_v01.mp4: Anomaly (ok)
  [L2 96] prompt_9_v09.mp4: Anomaly (ok)
  [L2 97] prompt_9_v10.mp4: Anomaly (ok)
  [L2 98] prompt_9_v11.mp4: Anomaly (ok)
  [L2 99] prompt_9_v14.mp4: Anomaly (ok)
  [L2 100] prompt_9_v17.mp4: Normal (X)
  [L2 101] prompt_9_v18.mp4: Normal (X)
  [L2 102] prompt_0.mp4: Normal (ok)
  [L2 103] prompt_9_v08.mp4: Normal (X)
  [L2 104] prompt_9_v13.mp4: Normal (X)
  [L2 105] prompt_9_v19.mp4: Anomaly (ok)
  [L2 106] prompt_6.mp4: Normal (ok)
  [L2 107] prompt_4.mp4: Normal (ok)
  [L2 108] prompt_11.mp4: Normal (ok)
  [L2 109] prompt_9_v15.mp4: Anomaly (ok)
  [L2 110] prompt_0_v04.mp4: Normal (ok)
  [L2 111] prompt_5.mp4: Normal (ok)
  [L2 112] prompt_0_v02.mp4: Normal (ok)
  [L2 113] prompt_8.mp4: Normal (ok)
  [L2 114] prompt_0_v08.mp4: Normal (ok)
  [L2 115] prompt_0_v07.mp4: Normal (ok)
  [L2 116] prompt_0_v10.mp4: Normal (ok)
  [L2 117] prompt_0_v11.mp4: Normal (ok)
  [L2 118] prompt_0_v09.mp4: Normal (ok)
  [L2 119] prompt_0_v12.mp4: Normal (ok)
  [L2 120] prompt_0_v13.mp4: Normal (ok)
  [L2 121] prompt_0_v01.mp4: Normal (ok)
  [L2 122] prompt_0_v15.mp4: Normal (ok)
  [L2 123] prompt_9_v20.mp4: Anomaly (ok)
  [L2 124] prompt_0_v16.mp4: Normal (ok)
  [L2 125] prompt_0_v19.mp4: Normal (ok)
  [L2 126] prompt_0_v14.mp4: Normal (ok)
  [L2 127] prompt_0_v17.mp4: Normal (ok)
  [L2 128] prompt_11_v04.mp4: Normal (ok)
  [L2 129] prompt_11_v06.mp4: Normal (ok)
  [L2 130] prompt_0_v20.mp4: Normal (ok)
  [L2 131] prompt_11_v07.mp4: Normal (ok)
  [L2 132] prompt_11_v03.mp4: Normal (ok)
  [L2 133] prompt_11_v11.mp4: Normal (ok)
  [L2 134] prompt_11_v02.mp4: Normal (ok)
  [L2 135] prompt_11_v13.mp4: Normal (ok)
  [L2 136] prompt_11_v18.mp4: Normal (ok)
  [L2 137] prompt_11_v15.mp4: Normal (ok)
  [L2 138] prompt_11_v16.mp4: Normal (ok)
  [L2 139] prompt_11_v12.mp4: Normal (ok)
  [L2 140] prompt_11_v20.mp4: Normal (ok)
  [L2 141] prompt_2_v05.mp4: Normal (ok)
  [L2 142] prompt_2_v01.mp4: Normal (ok)
  [L2 143] prompt_11_v14.mp4: Anomaly (X)
  [L2 144] prompt_2_v11.mp4: Normal (ok)
  [L2 145] prompt_2_v10.mp4: Normal (ok)
  [L2 146] prompt_2_v14.mp4: Normal (ok)
  [L2 147] prompt_2_v18.mp4: Normal (ok)
  [L2 148] prompt_2_v16.mp4: Normal (ok)
  [L2 149] prompt_2_v20.mp4: Normal (ok)
  [L2 150] prompt_4_v03.mp4: Normal (ok)
  [L2 151] prompt_2_v12.mp4: Anomaly (X)
  [L2 152] prompt_4_v04.mp4: Normal (ok)
  [L2 153] prompt_4_v06.mp4: Normal (ok)
  [L2 154] prompt_4_v05.mp4: Normal (ok)
  [L2 155] prompt_4_v10.mp4: Normal (ok)
  [L2 156] prompt_4_v08.mp4: Normal (ok)
  [L2 157] prompt_4_v02.mp4: Normal (ok)
  [L2 158] prompt_4_v11.mp4: Normal (ok)
  [L2 159] prompt_4_v14.mp4: Normal (ok)
  [L2 160] prompt_4_v15.mp4: Normal (ok)
  [L2 161] prompt_4_v19.mp4: Normal (ok)
  [L2 162] prompt_4_v13.mp4: Normal (ok)
  [L2 163] prompt_4_v17.mp4: Normal (ok)
  [L2 164] prompt_4_v07.mp4: Normal (ok)
  [L2 165] prompt_4_v16.mp4: Normal (ok)
  [L2 166] prompt_5_v01.mp4: Normal (ok)
  [L2 167] prompt_4_v18.mp4: Normal (ok)
  [L2 168] prompt_4_v20.mp4: Normal (ok)
  [L2 169] prompt_5_v03.mp4: Normal (ok)
  [L2 170] prompt_5_v02.mp4: Normal (ok)
  [L2 171] prompt_5_v04.mp4: Normal (ok)
  [L2 172] prompt_5_v08.mp4: Normal (ok)
  [L2 173] prompt_5_v07.mp4: Normal (ok)
  [L2 174] prompt_5_v11.mp4: Normal (ok)
  [L2 175] prompt_5_v05.mp4: Normal (ok)
  [L2 176] prompt_5_v10.mp4: Normal (ok)
  [L2 177] prompt_5_v15.mp4: Normal (ok)
  [L2 178] prompt_5_v14.mp4: Normal (ok)
  [L2 179] prompt_5_v06.mp4: Anomaly (X)
  [L2 180] prompt_5_v18.mp4: Normal (ok)
  [L2 181] prompt_5_v16.mp4: Normal (ok)
  [L2 182] prompt_5_v20.mp4: Normal (ok)
  [L2 183] prompt_6_v03.mp4: Normal (ok)
  [L2 184] prompt_5_v19.mp4: Normal (ok)
  [L2 185] prompt_6_v05.mp4: Normal (ok)
  [L2 186] prompt_6_v04.mp4: Normal (ok)
  [L2 187] prompt_6_v06.mp4: Normal (ok)
  [L2 188] prompt_6_v07.mp4: Normal (ok)
  [L2 189] prompt_6_v02.mp4: Normal (ok)
  [L2 190] prompt_6_v10.mp4: Normal (ok)
  [L2 191] prompt_6_v12.mp4: Normal (ok)
  [L2 192] prompt_6_v13.mp4: Normal (ok)
  [L2 193] prompt_6_v14.mp4: Normal (ok)
  [L2 194] prompt_6_v08.mp4: Normal (ok)
  [L2 195] prompt_6_v11.mp4: Normal (ok)
  [L2 196] prompt_6_v15.mp4: Normal (ok)
  [L2 197] prompt_6_v16.mp4: Normal (ok)
  [L2 198] prompt_6_v20.mp4: Normal (ok)
  [L2 199] prompt_6_v18.mp4: Normal (ok)
  [L2 200] prompt_6_v19.mp4: Normal (ok)
  [L2 201] prompt_8_v03.mp4: Normal (ok)
  [L2 202] prompt_8_v04.mp4: Normal (ok)
  [L2 203] prompt_8_v01.mp4: Normal (ok)
  [L2 204] prompt_8_v06.mp4: Normal (ok)
  [L2 205] prompt_8_v07.mp4: Normal (ok)
  [L2 206] prompt_8_v02.mp4: Normal (ok)
  [L2 207] prompt_8_v08.mp4: Normal (ok)
  [L2 208] prompt_8_v09.mp4: Normal (ok)
  [L2 209] prompt_8_v11.mp4: Normal (ok)
  [L2 210] prompt_8_v15.mp4: Normal (ok)
  [L2 211] prompt_8_v13.mp4: Normal (ok)
  [L2 212] prompt_8_v17.mp4: Normal (ok)
  [L2 213] prompt_8_v14.mp4: Normal (ok)
  [L2 214] prompt_8_v12.mp4: Normal (ok)
  [L2 215] prompt_8_v19.mp4: Normal (ok)
  [L2 216] prompt_8_v18.mp4: Normal (ok)
  [L2 217] prompt_9_v01.mp4: Anomaly (X)
  [L2 218] prompt_8_v20.mp4: Unknown (X)
  [L2 219] prompt_9_v03.mp4: Normal (ok)
  [L2 220] prompt_9_v07.mp4: Normal (ok)
  [L2 221] prompt_9_v04.mp4: Normal (ok)
  [L2 222] prompt_9_v05.mp4: Normal (ok)
